PLATE MJD FIBER PLUG_RA PLUG_DEC Z
3586 55181 16 9.339775 -0.3677848 2.2423
3586 55181 18 9.447628 0.0313821 2.2596
3586 55181 20 9.470285 0.02447365 3.1812
3586 55181 32 9.258995 -0.3889896 -0.003194
3586 55181 36 9.212147 -0.3735328 -0.00046957
3586 55181 38 9.215234 -0.1658641 2.1655
3586 55181 40 9.280407 -0.4060559 -0.00049565
3586 55181 44 8.910549 -1.17895 2.6433
3586 55181 50 8.94721 -0.8274096 -0.00017782
3586 55181 52 9.218317 -0.8158875 2.6566
3586 55181 54 9.028014 -0.6866864 0.8265
3586 55181 56 9.078496 -0.7749719 4.0398
3586 55181 58 9.062217 -0.6606989 -0.00051351
3586 55181 60 9.164439 -0.6233862 -0.0006275
3586 55181 72 9.116946 -0.5235992 -8.9188e-05
3586 55181 76 8.963948 -0.07738176 2.824
3586 55181 78 9.024743 -0.1843745 1.4896
3586 55181 80 9.015007 0.07314751 2.2511
3586 55181 88 8.815919 -1.053412 2.961
3586 55181 90 8.823545 -1.01618 2.1609
3586 55181 94 8.860847 -0.897535 -0.00013199
3586 55181 96 8.78685 -0.6768516 -0.0008781
3586 55181 98 8.909572 -0.7321037 0.71673
3586 55181 106 8.86449 -0.5746506 2.5314
3586 55181 110 8.849829 -0.2343365 2.7821
3586 55181 114 8.820019 -0.3300266 2.2291
3586 55181 116 8.884778 -0.1396464 -0.00014073
3586 55181 120 8.852671 0.08161856 2.3587
3586 55181 126 8.658418 -0.9662405 2.2985
3586 55181 128 8.734374 -0.9106641 0.50016
3586 55181 134 8.641822 -0.840798 2.1871
3586 55181 138 8.637447 -0.7637933 3.1745
3586 55181 142 8.61283 -0.4347053 0.66184
3586 55181 144 8.510353 -0.4768824 -0.00053164
3586 55181 152 8.616482 0.05470481 0.72937
3586 55181 153 8.563033 -0.1300238 0.69666
3586 55181 158 8.480646 -0.01400361 2.6945
3586 55181 160 8.616875 0.128466 2.6245
3586 55181 162 8.449608 -1.206833 2.4813
3586 55181 174 8.522602 -0.9223402 2.9522
3586 55181 178 8.469413 -0.8229036 1.8019
3586 55181 180 8.469341 -0.7643913 1.0503
3586 55181 188 8.374811 -0.2187476 2.2143
3586 55181 190 8.449248 -0.1627554 2.5874
3586 55181 194 8.309438 -0.08694458 1.2027
3586 55181 196 8.402189 -0.009397985 0.53374
3586 55181 198 8.375615 0.01437424 2.6757
3586 55181 200 8.417666 0.08166149 -0.00020921
3586 55181 214 8.294095 -0.8051521 7.5973e-05
3586 55181 216 8.328786 -0.8095503 2.5898
3586 55181 224 8.16221 -0.6196563 0.66369
3586 55181 228 8.131979 -0.4611922 2.1323
3586 55181 230 8.127618 -0.397947 0.001275
3586 55181 232 8.221824 -0.2935466 2.8101
3586 55181 236 8.152136 -0.2375803 1.5165
3586 55181 240 8.181308 0.001121905 -0.00011448
3586 55181 254 8.026899 -1.180078 1.2696
3586 55181 260 8.034938 -0.8615823 1.7155
3586 55181 294 7.915617 -0.8998108 -0.00014171
3586 55181 300 7.847116 -0.6902751 -0.00058046
3586 55181 302 7.812248 -0.6493189 -0.0010126
3586 55181 310 7.752396 -0.393722 -0.00053009
3586 55181 312 7.894337 -0.2957702 2.1493
3586 55181 320 7.725086 -0.0461628 2.2582
3586 55181 322 7.720698 -1.187301 1.8139
3586 55181 324 7.669166 -1.085685 -0.00081946
3586 55181 326 7.676188 -0.9838871 0.62443
3586 55181 328 7.695125 -0.9115202 0.62635
3586 55181 330 7.685233 -0.8929379 -0.00055383
3586 55181 336 7.706121 -0.8450117 1.5658
3586 55181 340 7.73896 -0.6728028 0.62176
